PM2.5,PM10,So2,No2,Co,O3
19,18,7,22,0.87,36
17,34,11,25,0.93,21
31,51,13,23,0.91,42
34,58,14,26,0.94,60
27,51,12,24,0.90,55
34,59,13,25,0.83,66
36,56,12,24,0.94,50
30,49,12,23,0.99,62
33,50,13,21,0.92,68
51,75,16,33,1.08,74
53,82,18,38,1.12,60
27,44,12,20,0.85,56
28,48,13,20,0.77,75
32,52,13,18,0.79,83
37,62,15,20,0.85,90
25,33,11,18,0.81,56
37,47,11,25,0.92,43
16,30,10,18,0.84,35
25,43,13,21,0.84,64
41,59,15,27,0.98,49
20,38,10,22,0.98,31
31,49,12,22,0.87,66
40,65,15,28,0.78,64
54,66,13,38,0.90,33
24,29,9,25,0.89,38
34,43,11,27,1.02,28
53,37,10,37,1.09,33
45,69,13,32,1.04,57
49,80,12,37,0.97,68
57,93,13,35,1.01,72
54,88,13,34,1.03,67
64,101,15,43,1.28,53
51,93,15,39,1.18,42
46,68,13,28,1.09,48
62,88,13,37,1.22,58
30,48,10,21,1.08,16
17,30,9,19,0.84,12
18,29,10,21,0.88,10
19,34,9,21,0.90,8
17,34,9,17,0.89,14
13,24,8,18,0.96,12
23,38,10,21,1.05,7
27,43,11,25,1.13,17
31,52,14,26,1.06,44
30,46,10,27,1.05,25
28,57,12,28,1.01,60
48,86,18,46,1.07,51
65,108,16,52,1.15,56
71,112,18,43,1.32,70
74,108,19,49,1.35,58
20,36,11,21,0.80,34
15,30,10,18,0.77,15
31,45,10,20,0.84,20
31,45,10,21,0.85,17
