PM2.5,PM10,So2,No2,Co,O3
36,55,16,25,0.90,19
44,60,9,29,1.06,38
46,72,18,36,1.34,12
9,18,8,19,0.81,17
6,11,8,16,0.75,18
13,21,6,14,0.66,34
25,39,12,18,0.75,15
33,60,17,23,0.89,9
33,62,16,26,0.84,24
45,77,18,35,0.87,12
32,56,14,25,0.75,32
41,69,18,37,0.94,19
49,78,12,35,1.00,21
49,79,18,34,0.93,25
54,105,20,38,0.98,17
55,145,15,33,0.93,24
56,112,19,33,0.97,11
85,126,18,39,1.23,9
72,102,21,36,1.24,13
62,90,21,33,1.44,25
52,195,10,30,0.93,15
58,234,14,17,0.53,37
61,181,17,20,0.68,38
51,133,17,25,0.72,22
39,69,12,15,0.65,41
40,46,12,16,0.65,39
47,65,15,18,0.67,35
66,72,16,25,0.77,23
71,95,18,32,0.90,21
60,94,15,38,0.83,26
66,102,14,42,0.95,24
81,115,24,48,1.12,29
120,146,20,54,1.33,25
99,131,22,50,1.36,18
73,112,19,46,1.28,28
82,124,22,43,1.39,22
101,140,35,54,1.62,13
80,130,23,49,1.44,14
92,149,24,47,1.63,16
45,38,18,21,0.81,35
35,44,13,18,0.66,42
39,50,16,22,0.70,32
56,67,20,21,0.71,45
