PM2.5,PM10,So2,No2,Co,O3
29,56,6,32,0.65,32
40,77,8,42,0.82,24
52,84,8,40,0.88,21
25,61,7,37,0.61,35
45,80,11,45,0.83,22
59,99,8,47,1.01,23
65,101,12,51,0.93,18
56,92,12,48,0.94,25
77,257,9,47,0.85,22
93,349,10,48,0.73,21
110,311,11,56,1.07,17
106,226,13,63,1.22,15
144,274,10,75,1.48,7
79,135,9,52,1.09,14
128,402,6,45,1.13,17
158,701,5,29,0.62,38
82,280,7,29,0.66,42
85,239,7,38,0.74,29
48,131,5,33,0.58,34
38,86,7,32,0.63,30
31,63,9,29,0.59,31
55,79,8,37,0.72,28
110,139,12,59,1.18,12
44,89,6,32,0.65,42
70,116,11,49,0.97,17
87,122,10,52,1.05,24
121,157,20,70,1.34,17
107,135,17,61,1.37,24
59,91,13,51,0.91,28
60,95,9,53,0.92,32
72,107,14,58,1.07,24
118,159,19,70,1.47,18
163,207,18,79,1.86,15
62,104,12,52,1.13,22
18,41,5,16,0.58,45
33,49,5,25,0.69,45
66,84,9,42,1.02,27
115,139,10,57,1.49,14
