PM2.5,PM10,So2,No2,Co,O3
10,31,2,36,0.42,32
21,51,4,46,0.73,21
43,71,5,59,0.94,23
113,130,7,92,1.48,17
160,157,7,87,1.68,34
81,57,2,48,0.85,17
18,26,2,35,0.45,17
14,32,2,38,0.48,19
26,53,3,48,0.69,10
66,98,6,70,1.10,6
34,63,3,40,0.66,32
12,37,2,36,0.38,24
44,78,4,54,0.73,22
94,117,5,71,1.15,15
175,110,5,78,1.69,15
223,51,4,75,2.24,15
65,17,2,32,0.87,30
12,27,3,27,0.38,37
41,77,6,58,0.79,10
31,78,5,40,0.68,30
43,93,9,62,1.01,10
39,85,7,50,0.83,23
19,47,3,30,0.49,33
26,61,6,47,0.70,18
67,103,12,61,1.38,6
87,107,9,59,1.18,21
87,113,7,69,1.30,11
204,233,10,101,2.25,6
56,282,2,30,0.51,40
54,179,14,65,1.25,7
56,156,13,63,1.51,8
87,177,11,80,1.89,7
126,199,9,81,1.92,12
182,242,7,86,2.58,3
66,266,2,21,0.52,45
15,71,2,22,0.36,38
36,98,8,56,1.01,5
9,38,2,15,0.36,46
5,36,2,11,0.32,49
8,35,3,19,0.32,47
38,69,8,55,0.86,13
56,88,11,63,1.10,8
22,55,6,31,0.57,32
27,59,7,52,0.76,17
13,41,4,35,0.48,34
45,73,9,62,0.93,12
88,115,13,82,1.51,6
66,108,7,58,1.27,29
26,57,5,44,0.62,36
26,56,5,48,0.74,26
31,69,7,58,0.94,12
53,93,9,71,1.17,5
60,109,11,58,1.24,25
8,41,4,15,0.36,42
9,27,4,24,0.43,38
13,30,4,34,0.49,27
36,60,8,53,0.91,10
