PM2.5,PM10,So2,No2,Co,O3
39,177,19,26,0.76,46
31,108,30,34,0.95,37
41,102,39,45,1.25,27
8,35,10,13,0.47,49
9,26,9,12,0.39,48
32,51,34,38,1.17,31
44,75,39,51,1.17,14
54,104,22,35,1.35,25
19,45,21,30,0.87,38
72,124,58,63,2.49,9
60,104,45,54,1.77,16
87,141,54,68,2.64,11
91,187,65,68,2.92,12
52,153,31,51,1.55,26
81,142,63,74,3.21,16
47,127,29,52,1.47,26
49,114,36,58,1.74,21
78,137,60,69,2.53,8
47,115,34,53,1.62,21
26,51,25,27,1.07,38
52,81,48,47,1.90,19
80,122,53,59,2.50,12
60,93,43,49,1.65,16
